"Module","Track","Status","Detail"
"Linux CLI & Bash Scripting","t1t2","Skipped","Already has lesson"
"Advanced PowerShell Scripting","t1t2","Skipped","Already has lesson"
"Security Monitoring & Log Analysis","t1t2","Skipped","Already has lesson"
"VLAN Configuration & Trunking","t1t2","Skipped","Already has lesson"
"Azure AD / Entra ID Hybrid Identity","t1t2","Skipped","Already has lesson"
"Bash Essentials for Server Administration","t1t2","Skipped","Already has lesson"
"Subnetting & CIDR in Practice","t1t2","Skipped","Already has lesson"
"Incident Response Workflow","t1t2","Success","Incident Response - CompTIA Security+ SY0-701 - 4.8"
"VPN Tunneling & Remote Access","t1t2","Skipped","Already has lesson"
"Permission Auditing & Access Reviews","t1t2","Skipped","Already has lesson"
"Virtualization & VMware Essentials","t1t2","Skipped","Already has lesson"
"Enterprise Wireless Design & RF","network","Skipped","Already has lesson"
"OSPF Design & Implementation","network","Skipped","Already has lesson"
"BGP & OSPF Routing Protocols","network","Skipped","Already has lesson"
"Next-Gen Firewall Design & Policy","network","Skipped","Already has lesson"
"SD-WAN Architecture & Deployment","network","Skipped","Already has lesson"
"BGP Fundamentals & ISP Peering","network","Skipped","Already has lesson"
"Wireless Security & Authentication","network","Skipped","Already has lesson"
"SASE & Cloud-Delivered Security","network","Skipped","Already has lesson"
"Wireless Troubleshooting & Optimization","network","Skipped","Already has lesson"
